"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Stratum"	"StratumTransfer"	"Period"	"Quarter"
"NA/19/2023/10024/20"	"26"	"NA/19/2023/10024/20-26"	"9524"	2023-06-06T13:48:00Z	60.0171	2.8	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"27"	"NA/19/2023/10024/20-27"	"2889"	2023-06-03T09:43:00Z	59.8171	2.45001	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"28"	"NA/19/2023/10024/20-28"	"10161"	2023-06-30T11:56:00Z	60.0171	3.033	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"29"	"NA/19/2023/10024/20-29"	"9524"	2023-06-06T07:28:00Z	59.6671	2.63301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"30"	"NA/19/2023/10024/20-30"	"9841"	2023-06-21T10:44:00Z	60.4681	2.417	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"31"	"NA/19/2023/10024/20-31"	"4405"	2023-06-13T18:40:00Z	60.367	2.81701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"32"	"NA/19/2023/10024/20-32"	"10129"	2023-06-21T10:44:00Z	61.583	4.38301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"33"	"NA/19/2023/10024/20-33"	"10128"	2023-04-29T10:24:00Z	60.25	2.033	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"34"	"NA/19/2023/10024/20-34"	"10161"	2023-07-06T13:51:00Z	60.683	2.83301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"35"	"NA/19/2023/10024/20-35"	"9116"	2023-08-13T03:42:00Z	60.25	2.60001	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"36"	"NA/19/2023/10024/20-36"	"9117"	2023-06-21T08:50:00Z	59.3171	2.417	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"37"	"NA/19/2023/10024/20-37"	"3320"	2023-08-05T06:30:00Z	60.433	2.267	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"38"	"NA/19/2023/10024/20-38"	"4605"	2023-06-04T07:31:00Z	59.774	2.585833333333	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"39"	"NA/19/2023/10024/20-39"	"9115"	2023-06-06T12:24:00Z	60.2001	3.117	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"40"	"NA/19/2023/10024/20-40"	"4415"	2023-06-15T18:57:00Z	59.717	2.83301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"41"	"NA/19/2023/10024/20-41"	"9891"	2023-05-28T15:10:00Z	60.3831	2.55	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"42"	"NA/19/2023/10024/20-42"	"4415"	2023-06-15T03:04:00Z	59.9171	3.20001	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"43"	"NA/19/2023/10024/20-43"	"9800"	2023-08-05T05:49:00Z	60.3831	2.08301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"44"	"NA/19/2023/10024/20-44"	"3050"	2023-08-10T11:45:00Z	59.333	-0.183	NA	"27.4.aW"	"27.4.aW"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"45"	"NA/19/2023/10024/20-45"	"2704"	2023-06-22T11:57:00Z	60.0571	2.59101	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"46"	"NA/19/2023/10024/20-46"	"4193"	2023-05-30T05:23:00Z	60	2.667	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"47"	"NA/19/2023/10024/20-47"	"10166"	2023-06-04T10:38:00Z	60	2.46701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"48"	"NA/19/2023/10024/20-48"	"10161"	2023-07-03T12:50:00Z	60.2001	2.83301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"49"	"NA/19/2023/10024/20-49"	"9118"	2023-08-16T13:56:00Z	60.3501	0.783001	NA	"27.4.aW"	"27.4.aW"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"50"	"NA/19/2023/10024/20-50"	"3223"	2023-06-07T07:26:00Z	61.1001	2.60001	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"51"	"NA/19/2023/10024/20-51"	"9115"	2023-06-04T14:50:00Z	59.583	2.3	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"52"	"NA/19/2023/10024/20-52"	"3672"	2023-06-23T10:11:00Z	60.1001	2.4	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"53"	"NA/19/2023/10024/20-53"	"3223"	2023-06-09T11:53:00Z	61.233	2.20001	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"54"	"NA/19/2023/10024/20-54"	"9891"	2023-06-12T07:15:00Z	60.333	2.15	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"55"	"NA/19/2023/10024/20-55"	"4425"	2023-08-15T10:37:00Z	60.2831	2.10001	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"56"	"NA/19/2023/10024/20-56"	"10161"	2023-07-04T05:36:00Z	60.083	2.98301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"57"	"NA/19/2023/10024/20-57"	"3672"	2023-06-26T05:19:00Z	59.7831	2.70001	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"58"	"NA/19/2023/10024/20-58"	"3320"	2023-08-03T18:40:00Z	59.867	2.21701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"59"	"NA/19/2023/10024/20-59"	"9844"	2023-06-15T12:58:00Z	59.8871	2.936	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"60"	"NA/19/2023/10024/20-60"	"1251"	2023-08-10T05:55:00Z	60.3831	0.85	NA	"27.4.aW"	"27.4.aW"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"61"	"NA/19/2023/10024/20-61"	"3050"	2023-06-14T12:09:00Z	60.0331	2.96701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"62"	"NA/19/2023/10024/20-62"	"3050"	2023-06-24T12:42:00Z	59.75	2.06701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"63"	"NA/19/2023/10024/20-63"	"4646"	2023-08-23T03:45:00Z	57.51	7.35	NA	"27.4.aE"	"Transfer.area"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"64"	"NA/19/2023/10024/20-64"	"3672"	2023-08-01T07:36:00Z	59.9	2.46701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"65"	"NA/19/2023/10024/20-65"	"3672"	2023-06-22T14:20:00Z	60.0171	2.283	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"66"	"NA/19/2023/10024/20-66"	"3320"	2023-07-31T09:44:00Z	60.5671	2.917	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"67"	"NA/19/2023/10024/20-67"	"4606"	2023-10-18T04:21:00Z	58.75	2.917	NA	"27.4.aE"	"27.4.aE"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"68"	"NA/19/2023/10024/20-68"	"9846"	2023-10-16T13:47:00Z	58.8	3.05	NA	"27.4.aE"	"Transfer.area"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"69"	"NA/19/2023/10024/20-69"	"4402"	2023-09-15T16:17:00Z	57.51	-0.400001	NA	"27.4.aW"	"27.4.aW"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"70"	"NA/19/2023/10024/20-70"	"1300"	2023-10-23T08:10:00Z	58.983	2.533	NA	"27.4.aE"	"27.4.aE"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"71"	"NA/19/2023/10024/20-71"	"4143"	2023-12-04T07:09:00Z	58.083	4.68101	NA	"27.4.aE"	"Transfer.area"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"72"	"NA/19/2023/10024/20-72"	"4143"	2023-12-04T17:15:00Z	58.0971	4.566	NA	"27.4.aE"	"Transfer.area"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"73"	"NA/19/2023/10024/20-73"	"4606"	2023-11-11T06:51:00Z	59.5671	0.567	NA	"27.4.aW"	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"74"	"NA/19/2023/10024/20-74"	"1750"	2023-11-12T19:54:00Z	58.5	0.0670001	NA	"27.4.aW"	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"75"	"NA/19/2023/10024/20-75"	"4606"	2023-11-12T01:25:00Z	58.5331	-0.0670001	NA	"27.4.aW"	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"76"	"NA/19/2023/10024/20-76"	"1251"	2023-08-05T06:07:00Z	60.333	2.3	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"77"	"NA/19/2023/10024/20-77"	"3674"	2023-08-22T07:59:00Z	59.7001	-0.267001	NA	"27.4.aW"	"27.4.aW"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"78"	"NA/19/2023/10024/20-78"	"10129"	2023-06-15T08:06:00Z	59.9	2.917	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"79"	"NA/19/2023/10024/20-79"	"9889"	2023-06-28T03:35:00Z	60.3171	2.88301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"80"	"NA/19/2023/10024/20-80"	"4002"	2023-11-17T20:44:00Z	59.2001	0.15	NA	"27.4.aW"	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2023/10024/20"	"81"	"NA/19/2023/10024/20-81"	"4168"	2023-07-04T13:51:00Z	60.05	2.8	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"82"	"NA/19/2023/10024/20-82"	"3672"	2023-07-31T05:17:00Z	60.25	2.55	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"83"	"NA/19/2023/10024/20-83"	"1251"	2023-07-31T10:08:00Z	60.55	2.933	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"84"	"NA/19/2023/10024/20-84"	"4607"	2023-07-30T10:15:00Z	60.4171	2.533	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"85"	"NA/19/2023/10024/20-85"	"1251"	2023-08-05T12:30:00Z	60.4171	2.4	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"86"	"NA/19/2023/10024/20-86"	"4607"	2023-07-30T04:37:00Z	60.467	2.667	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"87"	"NA/19/2023/10024/20-87"	"10128"	2023-06-27T14:12:00Z	60.333	2.917	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
